CENTRE_CODE;CENTRE_NAME;SHORT_DESCRIPTION;DESCRIPTION;OWNERSHIP;OWNER;COMPLETE_ADDRESS;CP_DIRECTION;MUNICIPALITY_CODE;MUNICIPALITY_NAME;DISTRICT_CODE;DISTRICT_NAME;TELEPHONE_CONTACT;WEB_CONTACT;EMAIL_CONTACT;LATITUD;LONGITUD
28000558;INFANTA CATALINA;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE SAN VIDAL, 4, 28803;28803;5;Alcalá de Henares;NaN;NaN;918886145;http://www.educa.madrid.org/cp.infantacatalina.alcala;cp.infantacatalina.alcala@educa.madrid.org;40,47440268;-3,37510256
28000595;FEDERICO GARCIA LORCA;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DEL MARQUÉS DE LA VALDAVIA, 91, 28100;28100;6;Alcobendas;NaN;NaN;916624593;http://www.educa.madrid.org/cp.garcialorca.alcobendas;cp.garcialorca.alcobendas@educa.madrid.org;40,54591738;-3,64915417
28000601;ANTONIO MACHADO;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DE MIRAFLORES, 59, 28100;28100;6;Alcobendas;NaN;NaN;916526807;http://www.educa.madrid.org/cp.machado.alcobendas;cp.machado.alcobendas@educa.madrid.org;40,54666725;-3,6390759
28000625;SAN PEDRO APOSTOL;EIPR;ESCUELA INFANTIL PRIVADA;PRIVADO CONCERTADO;PARROQUIA DE SAN PEDRO APOSTOL;PLAZA DE FELIPE ÁLVAREZ GADEA, 1, 28100;28100;6;Alcobendas;NaN;NaN;916535721;NaN;cc.sanpedroapostol.alcobendas@educa.madrid.org;40,54113651;-3,63239862
28000649;SAN ANTONIO;CPR PRI;CENTRO PRIVADO DE EDUCACIÓN PRIMARIA;PRIVADO CONCERTADO;COLEGIO CONCERTADO SAN ANTONIO, S.L.;CALLE DE BARCELONA, 13, 28100;28100;6;Alcobendas;NaN;NaN;916527169;http://www.educa.madrid.org/cc.sanantonio.alcobendas;cc.sanantonio.alcobendas@educa.madrid.org;40,54233569;-3,62891445
28000662;JUAN XXIII;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;EDUCACHACON, S.L.;TRVA JUAN M. SÁNCHEZ. PEDAGOGO, 3, 28100;28100;6;Alcobendas;NaN;NaN;916516468;http://www.juanxxiiialcobendas.com;cc.juanxxiii.alcobendas@educa.madrid.org;40,54177946;-3,63671491
28000698;LICEO EUROPEO;CPR PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA;PRIVADO;LICEO EUROPEO, S.L.;CALLE DEL CAMINO SUR, 10-dic, 28109;28109;6;Alcobendas;NaN;NaN;916500000;http://www.liceo-europeo.es;patricia.real@liceo-europeo.edu.es;40,51187883;-3,64324269
28000753;FRANCISCO GINER DE LOS RIOS;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;AVDA DE LA TRANSICIÓN ESPAÑOLA, 11, 28108;28108;6;Alcobendas;NaN;NaN;916525466;http://www.educa.madrid.org/ies.ginerdelosrios.alcobendas;ies.ginerdelosrios.alcobendas@educa.madrid.org;40,5336233;-3,62073307
28000765;DAOIZ Y VELARDE;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;AVDA DE VALDELAPARRA, 92, 28108;28108;6;Alcobendas;NaN;NaN;916616095;http://www.educa.madrid.org/cp.daoizyvelarde.alcobendas;cp.daoizyvelarde.alcobendas@educa.madrid.org;40,54581968;-3,66161233
28000777;BIENAVENTURADA VIRGEN MARIA;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO;INSTITUTO  BIENAVENTURADA VIRGEN MARIA;CALLE DE BEGONIA, 275, 28109;28109;6;Alcobendas;NaN;NaN;916501500;http://www.irlandesaselsoto.net/;secretaria.elsoto@feducativamaryward.org;40,52391063;-3,64073682
28000820;COLEGIO SUIZO DE MADRID (SUIZO);CEXTRAN ESP;CENTRO DOCENTE EXTRANJERO EN ESPAÑA;PRIVADO;ASOCIACION DEL COLEGIO SUIZO DE MADRID;CTRA BURGOS, k. 14, 28100;28100;6;Alcobendas;NaN;NaN;916505818;NaN;NaN;40,51961923;-3,65416544
28000856;CARMEN CONDE;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;AVDA DEL OESTE, 2, 28922;28922;7;Alcorcón;NaN;NaN;916448242;http://www.educa.madrid.org/cp.carmenconde.alcorcon;cp.carmenconde.alcorcon@educa.madrid.org;40,34160597;-3,83274748
28000901;NUESTRA SEÑORA DE RIHONDO;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;COLEGIO RIHONDO, S.L.;AVDA DE PABLO IGLESIAS, 2, 28922;28922;7;Alcorcón;NaN;NaN;916442053;http://www.rihondo.es;cc.nsrihondo.alcorcon@educa.madrid.org;40,34460753;-3,83628136
28000947;SANTISIMA TRINIDAD;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;FUNDACION EDUCATIVA SANTISIMA TRINIDAD;CALLE DE RIBADAVIA, 2, 28925;28925;7;Alcorcón;NaN;NaN;916191823;http://www.alcorcon.colegiostrinitarios.com;cc.santisimatrinidad.alcorcon@educa.madrid.org;40,35487507;-3,81266755
28000960;NUESTRA SEÑORA DE LOS REMEDIOS;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;COLEGIO NUESTRA SEÑORA DE LOS REMEDIOS, SOC. COOP. MADRILEÑA;CALLE DE LOS GUINDALES, 17, 28921;28921;7;Alcorcón;NaN;NaN;916194981;http://www.educa.madrid.org/cc.nsdelosremedios.alcorcon;cc.nsdelosremedios.alcorcon@educa.madrid.org;40,34514021;-3,83362692
28001010;AMOR DE DIOS;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;CONGREGACION DE RELIGIOSAS DEL AMOR DE DIOS;PLAZA SANTIAGO DE COMPOSTELA, 1, 28924;28924;7;Alcorcón;NaN;NaN;916192117;http://www.educa.madrid.org/cc.amordedios.alcorcon;cc.amordedios.alcorcon@educa.madrid.org;40,35121448;-3,81563813
28001022;LA INMACULADA;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;MISIONERAS SECULARES DE JESUS OBRERO;CALLE SEÑORITA ELENA, s/n, 28924;28924;7;Alcorcón;NaN;NaN;916192515;http://www.lainmaculada.net;cc.lainmaculada.alcorcon@educa.madrid.org;40,35036817;-3,81171852
28001034;VIRGEN DEL REMEDIO;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;MADRES TRINITARIAS;AVDA DE LISBOA, 2, 28924;28924;7;Alcorcón;NaN;NaN;916195917;http://www.colegiotrinitarias.com;cc.virgendelremedio.alcorcon@educa.madrid.org;40,35167901;-3,82255598
28001046;CENTRO EDUCATIVO VILLA DE ALCORCON;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;JUAN XXIII DE ENSEÑANZA S.L.;CALLE DE MADRID, 12, 28921;28921;7;Alcorcón;NaN;NaN;916438329;http://www.villadealcorcon.com;cc.villadealcorcon.alcorcon@educa.madrid.org;40,34938197;-3,82756784
28001137;DANIEL MARTIN;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;AVDA DEL ALCALDE JOSÉ ARANDA, 45, 28923;28923;7;Alcorcón;NaN;NaN;916108191;http://www.educa.madrid.org/portal/web/danielmartin;cp.danielmartin.alcorcon@educa.madrid.org;40,34658475;-3,8193267
28001149;PARROCO D. VICTORIANO;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DE LA OLÍMPICA CONCHITA PUIG, 2, 28923;28923;7;Alcorcón;NaN;NaN;916117131;http://www.educa.madrid.org/cp.donvictoriano.alcorcon;cp.donvictoriano.alcorcon@educa.madrid.org;40,34447488;-3,81957198
28001231;SAN PABLO-CEU;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO;FUNDACION UNIVERSITARIA SAN PABLO CEU;AVDA DE MONTEPRÍNCIPE, 28668;28668;22;Boadilla del Monte;NaN;NaN;913520523;www.colegioceumonteprincipe.es;info.csp.monteprincipe@ceu.es;40,39998933;-3,83834502
28001241;NUESTRA SEÑORA DE FATIMA;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE NAVAYUNCOSA, 22, 28620;28620;8;Aldea del Fresno;NaN;NaN;918637177;http://www.educa.madrid.org/cp.fatima.aldeadelfresno;cp.fatima.aldeadelfresno@educa.madrid.org;40,32425442;-4,19982675
28001277;OBISPO MOSCOSO;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DEL RETAMAR, 18, 28110;28110;9;Algete;NaN;NaN;916290464;http://www.educa.madrid.org/cp.obispomoscoso.algete;cp.obispomoscoso.algete@educa.madrid.org;40,59957226;-3,49695887
28001289;SANTA QUITERIA;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DE SANTA QUITERIA, 45, 28439;28439;10;Alpedrete;NaN;NaN;918572391;http://www.educa.madrid.org/cp.santaquiteria.alpedrete;cp.santaquiteria.alpedrete@educa.madrid.org;40,65511957;-4,01969433
28001371;SAN JOSE DE CALASANZ;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;AVDA DE LA PLAZA DE TOROS, 32, 28300;28300;13;Aranjuez;NaN;NaN;918910771;http://www.educa.madrid.org/cp.sanjosedecalasanz.aranjuez;cp.sanjosedecalasanz.aranjuez@educa.madrid.org;40,02757613;-3,59771025
28001435;VIRGEN DEL PUERTO;CPR INF;CENTRO PRIVADO DE EDUCACIÓN INFANTIL;PRIVADO;COLEGIO VIRGEN DEL PUERTO, S.L.;CALLE DE CARRETAS, 16, 28300;28300;13;Aranjuez;NaN;NaN;918910717;NaN;vdp@colegiovirgendelpuerto.com;40,02591563;-3,60345001
28001514;SAGRADA FAMILIA;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;FUNDACION EDUCATIVA SANTO DOMINGO;CALLE DEL PRÍNCIPE, 15, 28300;28300;13;Aranjuez;NaN;NaN;918910419;http://www.aranjuez.fesd.es;cc.sagradafamilia.aranjuez@educa.madrid.org;40,03631505;-3,60301421
28001538;SAN PASCUAL;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO CONCERTADO;COLEGIO SAN PASCUAL, SDAD. COOP. MADRILEÑA;CALLE DEL REY, 77-79, 28300;28300;13;Aranjuez;NaN;NaN;918911917;http://www.colegiosanpascual.es;cc.sanpascual.aranjuez@educa.madrid.org;40,02930098;-3,60042092
28001551;VICENTE ALEIXANDRE;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DEL PRÍNCIPE, 38, 28300;28300;13;Aranjuez;NaN;NaN;918912625;http://www.educa.madrid.org/cp.vicentealeixandre.aranjuez;cp.vicentealeixandre.aranjuez@educa.madrid.org;40,03536937;-3,59947784
28001563;APOSTOL SANTIAGO;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;PADRES SOMASCOS;CALLE DE LAS MORERAS, 217, 28300;28300;13;Aranjuez;NaN;NaN;918921200;http://www.educa.madrid.org/cc.apostolsantiago.aranjuez;cc.apostolsantiago.aranjuez@educa.madrid.org;40,03534728;-3,58973744
28001587;ARCO IRIS ABASTOS;EIPR;ESCUELA INFANTIL PRIVADA;PRIVADO;ESCUELA INFANTIL ARCO IRIS ABASTOS, S.L.;CALLE DE ABASTOS, 157, 28300;28300;13;Aranjuez;NaN;NaN;918911553;NaN;escuelainfantil.arcoiris.abastos@hotmail.com;40,03126891;-3,59443734
28001605;LOYOLA;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;CONGREGACION SALESIANA;CALLE DE VALERAS, 24, 28300;28300;13;Aranjuez;NaN;NaN;918910505;http://www.salesianosloyola.es;cc.loyola.aranjuez@educa.madrid.org;40,02799252;-3,60944541
28001617;SAN ISIDRO;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DE LOS CUARTELES, 51, 28300;28300;13;Aranjuez;NaN;NaN;918911299;http://www.educa.madrid.org/cp.sanisidro.aranjuez;cp.sanisidro.aranjuez@educa.madrid.org;40,03272275;-3,59203552
28001629;DOMENICO SCARLATTI;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DE VALERAS, 22, 28300;28300;13;Aranjuez;NaN;NaN;918910057;http://www.educa.madrid.org/ies.domenicoscarlat.aranjuez;ies.domenicoscarlat.aranjuez@educa.madrid.org;40,02960597;-3,60930741
28001642;PRINCIPE DE ASTURIAS;CP EE;COLEGIO DE EDUCACIÓN ESPECIAL;PÚBLICO;COMUNIDAD DE MADRID;CALLE ZORZALES, 11, 28300;28300;13;Aranjuez;NaN;NaN;918915378;http://www.educa.madrid.org/cpee.principedeasturias.aranjuez;cpee.principedeasturias.aranjuez@educa.madrid.org;40,02966102;-3,61083151
28001678;JORGE MANRIQUE;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DEL MAR ADRIÁTICO, 2, 28760;28760;903;Tres Cantos;NaN;NaN;918040964;http://www.educa.madrid.org/ies.jorgemanrique.trescantos;ies.jorgemanrique.trescantos@educa.madrid.org;40,59181827;-3,70434907
28001681;NUESTRA SEÑORA DE LA MILAGROSA;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE LEONOR DE CORTINAS, 2, 28500;28500;14;Arganda del Rey;NaN;NaN;918710205;http://www.educa.madrid.org/cp.milagrosa.arganda;cp.milagrosa.arganda@educa.madrid.org;40,3003206;-3,44564485
28001769;EL CARRASCAL;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;AVDA DEL INSTITUTO, s/n, 28500;28500;14;Arganda del Rey;NaN;NaN;918760082;http://www.educa.madrid.org/ies.elcarrascal.arganda;ies.elcarrascal.arganda@educa.madrid.org;40,29030938;-3,44143779
28001770;SAN JUAN BAUTISTA;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE ISAAC PERAL, 20, 28500;28500;14;Arganda del Rey;NaN;NaN;918700113;http://www.educa.madrid.org/cp.sanjuanbautista.arganda;cp.sanjuanbautista.arganda@educa.madrid.org;40,29672606;-3,43852624
28001794;EL TORREON;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DE SERRANILLOS, 6, 28939;28939;15;Arroyomolinos;NaN;NaN;916095705;http://www.educa.madrid.org/cp.eltorreon.arroyomolinos;cp.eltorreon.arroyomolinos@educa.madrid.org;40,26759328;-3,91876415
28001812;JUAN RAMON JIMENEZ;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;PASEO DE SAN SEBASTIÁN, 23, 28490;28490;18;Becerril de la Sierra;NaN;NaN;918538064;http://www.educa.madrid.org/cp.juanramonjimenez.becerril;cp.juanramonjimenez.becerril@educa.madrid.org;40,71359011;-3,99116598
28001824;BELMONTE DE TAJO;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE TOMÁS DÍAZ VÁZQUEZ, 8, 28390;28390;19;Belmonte de Tajo;NaN;NaN;918747247;http://www.educa.madrid.org/cp.belmontedetajo.belmonte;cp.belmontedetajo.belmonte@educa.madrid.org;40,13428703;-3,33587528
28001848;PRINCIPE DON FELIPE;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DE JUAN CARLOS I, 40, 28660;28660;22;Boadilla del Monte;NaN;NaN;916331626;http://www.educa.madrid.org/cp.principedonfelipe.boadilla;cp.principedonfelipe.boadilla@educa.madrid.org;40,40735603;-3,87874197
28001851;VIRGEN DE EUROPA;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO;COLEGIO VIRGEN DE EUROPA, S.L.;CALLE DEL VALLE DE SANTA ANA, 1, 28669;28669;22;Boadilla del Monte;NaN;NaN;916330155;http://www.cve.edu.es;secretaria@colegiovirgendeeuropa.edu.es;40,43088735;-3,89053102
28001861;TRINITY COLLEGE BOADILLA;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO;TRINITY COLLEGE GROUP OF SPAIN, S.L.;CALLE PLAYA DE FORMENTOR, s/n, 28660;28660;22;Boadilla del Monte;NaN;NaN;916330181;http://www.trinitycollege.es/liceoserrano/;nuriabarthe@trinitycollege.es;40,44352781;-3,89274956
