centro_codigo;centro_nombre;centro_tipo_codigo;centro_tipo_desc_abreviada;centro_tipo_descripcion;centro_titularidad;centro_titular;dat_codigo;dat_nombre;direccion_via_tipo;direccion_via_nombre;direccion_numero;direccion_codigo_postal;municipio_codigo;municipio_nombre;distrito_codigo;distrito_nombre;contacto_telefono1;contacto_telefono2;contacto_telefono3;contacto_telefono4;contacto_fax;contacto_web;contacto_email1;LATITUD;LONGITUD
28000327;SANTA MARIA DE LA PROVIDENCIA;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;FUNDACION EDUCACION Y EVANGELIO;3;Madrid-Este;CALLE;Huertas;4;28807;5;Alcalá de Henares;;;918819409;;;;;http://www.smprovidencia-alcala.es;cc.smdelaprovidencia.alcala@educa.madrid.org;40,48841536;-3,3655285
28000364;COMPLUTENSE;42;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;Valladolid;1;28804;5;Alcalá de Henares;;;918880169;;;;918828091;http://www.educa.madrid.org/ies.complutense.alcala;ies.complutense.alcala@educa.madrid.org;40,4845597;-3,34795079
28000376;NUESTRA SEÑORA DEL VAL;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;Ávila;s/n;28804;5;Alcalá de Henares;;;918893702;;;;918894578;http://www.educa.madrid.org/cp.val.alcala;cp.val.alcala@educa.madrid.org;40,48630222;-3,34367667
28000388;DOCTORA DE ALCALA;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;de Pedro Sarmiento de Gamboa;11;28805;5;Alcalá de Henares;;;918883764;;;;918833055;http://www.educa.madrid.org/cp.doctora.alcala;cp.doctora.alcala@educa.madrid.org;40,49075815;-3,35964121
28000406;SAN GABRIEL;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;PADRES PASIONISTAS;3;Madrid-Este;CTRA;Daganzo;k 2,5;28800;5;Alcalá de Henares;;;918890650;;;;918871277;http://www.educa.madrid.org/cc.sangabriel.alcala;cc.sangabriel.alcala@educa.madrid.org;40,49942373;-3,3878341
28000421;SAN IGNACIO DE LOYOLA;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;COLEGIO DE SAN IGNACIO COMPAÑIA DE JESUS (JESUITAS);3;Madrid-Este;CALLE;Concepción Arenal;3;28806;5;Alcalá de Henares;;;918871114;918881400;;;918832815;http://www.sanignacioalcala.es;cc.sanignaciodeloyola.alcala@educa.madrid.org;40,49637088;-3,36534745
28000431;MINERVA;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO;COLEGIOS MINERVA S.L.;3;Madrid-Este;CALLE;Batalla de Lepanto;1;28804;5;Alcalá de Henares;;;918881362;918835635;;;918881362;http://www.educa.madrid.org/cc.minerva.alcala;cc.minerva.alcala@educa.madrid.org;40,48573065;-3,35688878
28000467;ALONSO DE AVELLANEDA;42;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;Vitoria;3;28804;5;Alcalá de Henares;;;918881174;;;;918883402;http://www.educa.madrid.org/ies.alonsodeavellan.alcala;ies.alonsodeavellan.alcala@educa.madrid.org;40,49076767;-3,34165805
28000479;CALASANZ;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;FUNDACION ESCOLAPIAS MONTAL;3;Madrid-Este;CALLE;Santiago;29;28801;5;Alcalá de Henares;;;918892900;;;;;http://www.calasanzalcala.com;cc.calasanz.alcala@educa.madrid.org;40,48354755;-3,36645779
28000492;LOPE DE VEGA;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;PROLOVE, S.A.;3;Madrid-Este;CALLE;de Luis de Medina;12;28805;5;Alcalá de Henares;;;918893879;;;;918892021;http://www.colegiolopedevega.com;cc.lopedevega.alcala@educa.madrid.org;40,49019872;-3,35701865
28000522;ANTONIO MACHADO;42;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;Alalpardo;s/n;28806;5;Alcalá de Henares;;;918892450;;;;918883916;http://www.educa.madrid.org/ies.machado.alcala;ies.machado.alcala@educa.madrid.org;40,49164515;-3,36975868
28000558;INFANTA CATALINA;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;San Vidal;4;28803;5;Alcalá de Henares;;;918886145;;;;918836953;http://www.educa.madrid.org/cp.infantacatalina.alcala;cp.infantacatalina.alcala@educa.madrid.org;40,47440268;-3,37510256
28000595;FEDERICO GARCIA LORCA;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;1;Madrid-Norte;CALLE;del Marqués de la Valdavia;91;28100;6;Alcobendas;;;916624593;916624089;;;916624084;http://www.educa.madrid.org/cp.garcialorca.alcobendas;cp.garcialorca.alcobendas@educa.madrid.org;40,54591738;-3,64915417
28000601;ANTONIO MACHADO;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;1;Madrid-Norte;CALLE;de Miraflores;59;28100;6;Alcobendas;;;916526807;916512538;;;916639504;http://www.educa.madrid.org/cp.machado.alcobendas;cp.machado.alcobendas@educa.madrid.org;40,54666725;-3,6390759
28000625;SAN PEDRO APOSTOL;8;EIPR;ESCUELA INFANTIL PRIVADA;PRIVADO CONCERTADO;PARROQUIA DE SAN PEDRO APOSTOL;1;Madrid-Norte;PLAZA;de Felipe Álvarez Gadea;1;28100;6;Alcobendas;;;916535721;656440108;;;916535721;;cc.sanpedroapostol.alcobendas@educa.madrid.org;40,54113651;-3,63239862
28000649;SAN ANTONIO;13;CPR PRI;CENTRO PRIVADO DE EDUCACIÓN PRIMARIA;PRIVADO CONCERTADO;COLEGIO CONCERTADO SAN ANTONIO, S.L.;1;Madrid-Norte;CALLE;de Barcelona;13;28100;6;Alcobendas;;;916527169;;;;;http://www.educa.madrid.org/cc.sanantonio.alcobendas;cc.sanantonio.alcobendas@educa.madrid.org;40,54233569;-3,62891445
28000662;JUAN XXIII;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;EDUCACHACON, S.L.;1;Madrid-Norte;TRVA;Juan M. Sánchez. Pedagogo;3;28100;6;Alcobendas;;;916516468;647786608;;;916516468;http://www.juanxxiiialcobendas.com;cc.juanxxiii.alcobendas@educa.madrid.org;40,54177946;-3,63671491
28000698;LICEO EUROPEO;73;CPR PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA;PRIVADO;LICEO EUROPEO, S.L.;1;Madrid-Norte;CALLE;del Camino Sur;10-dic;28109;6;Alcobendas;;;916500000;916500000;916500000;916500000;916500000;http://www.liceo-europeo.es;patricia.real@liceo-europeo.edu.es;40,51187883;-3,64324269
28000753;FRANCISCO GINER DE LOS RIOS;42;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;1;Madrid-Norte;AVDA;de la Transición Española;11;28108;6;Alcobendas;;;916525466;;;;916511164;http://www.educa.madrid.org/ies.ginerdelosrios.alcobendas;ies.ginerdelosrios.alcobendas@educa.madrid.org;40,5336233;-3,62073307
28000765;DAOIZ Y VELARDE;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;1;Madrid-Norte;AVDA;de Valdelaparra;92;28108;6;Alcobendas;;;916616095;;;;916613142;http://www.educa.madrid.org/cp.daoizyvelarde.alcobendas;cp.daoizyvelarde.alcobendas@educa.madrid.org;40,54581968;-3,66161233
28000777;BIENAVENTURADA VIRGEN MARIA;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO;INSTITUTO  BIENAVENTURADA VIRGEN MARIA;1;Madrid-Norte;CALLE;de Begonia;275;28109;6;Alcobendas;;;916501500;;;;;http://www.irlandesaselsoto.net/;secretaria.elsoto@feducativamaryward.org;40,52391063;-3,64073682
28000820;COLEGIO SUIZO DE MADRID (SUIZO);94;CEXTRAN ESP;CENTRO DOCENTE EXTRANJERO EN ESPAÑA;PRIVADO;ASOCIACION DEL COLEGIO SUIZO DE MADRID;1;Madrid-Norte;CTRA;BURGOS;k. 14;28100;6;Alcobendas;;;916505818;;;;;;;40,51961923;-3,65416544
28000856;CARMEN CONDE;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;AVDA;del Oeste;2;28922;7;Alcorcón;;;916448242;;;;916440016;http://www.educa.madrid.org/cp.carmenconde.alcorcon;cp.carmenconde.alcorcon@educa.madrid.org;40,34160597;-3,83274748
28000901;NUESTRA SEÑORA DE RIHONDO;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;COLEGIO RIHONDO, S.L.;2;Madrid-Sur;AVDA;de Pablo Iglesias;2;28922;7;Alcorcón;;;916442053;629924429;;;;http://www.rihondo.es;cc.nsrihondo.alcorcon@educa.madrid.org;40,34460753;-3,83628136
28000947;SANTISIMA TRINIDAD;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;FUNDACION EDUCATIVA SANTISIMA TRINIDAD;2;Madrid-Sur;CALLE;de Ribadavia;2;28925;7;Alcorcón;;;916191823;;;;916103443;http://www.alcorcon.colegiostrinitarios.com;cc.santisimatrinidad.alcorcon@educa.madrid.org;40,35487507;-3,81266755
28000960;NUESTRA SEÑORA DE LOS REMEDIOS;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;COLEGIO NUESTRA SEÑORA DE LOS REMEDIOS, SOC. COOP. MADRILEÑA;2;Madrid-Sur;CALLE;de los Guindales;17;28921;7;Alcorcón;;;916194981;;;;916194981;http://www.educa.madrid.org/cc.nsdelosremedios.alcorcon;cc.nsdelosremedios.alcorcon@educa.madrid.org;40,34514021;-3,83362692
28001010;AMOR DE DIOS;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;CONGREGACION DE RELIGIOSAS DEL AMOR DE DIOS;2;Madrid-Sur;PLAZA;Santiago de Compostela;1;28924;7;Alcorcón;;;916192117;;;;916118527;http://www.educa.madrid.org/cc.amordedios.alcorcon;cc.amordedios.alcorcon@educa.madrid.org;40,35121448;-3,81563813
28001022;LA INMACULADA;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;MISIONERAS SECULARES DE JESUS OBRERO;2;Madrid-Sur;CALLE;Señorita Elena;s/n;28924;7;Alcorcón;;;916192515;;;;916113356;http://www.lainmaculada.net;cc.lainmaculada.alcorcon@educa.madrid.org;40,35036817;-3,81171852
28001034;VIRGEN DEL REMEDIO;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;MADRES TRINITARIAS;2;Madrid-Sur;AVDA;de Lisboa;2;28924;7;Alcorcón;;;916195917;;;;916112507;http://www.colegiotrinitarias.com;cc.virgendelremedio.alcorcon@educa.madrid.org;40,35167901;-3,82255598
28001046;CENTRO EDUCATIVO VILLA DE ALCORCON;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;JUAN XXIII DE ENSEÑANZA S.L.;2;Madrid-Sur;CALLE;de Madrid;12;28921;7;Alcorcón;;;916438329;916106371;;;916448058;http://www.villadealcorcon.com;cc.villadealcorcon.alcorcon@educa.madrid.org;40,34938197;-3,82756784
28001137;DANIEL MARTIN;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;AVDA;del Alcalde José Aranda;45;28923;7;Alcorcón;;;916108191;;;;916101196;http://www.educa.madrid.org/portal/web/danielmartin;cp.danielmartin.alcorcon@educa.madrid.org;40,34658475;-3,8193267
28001149;PARROCO D. VICTORIANO;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;CALLE;de la Olímpica Conchita Puig;2;28923;7;Alcorcón;;;916117131;916190793;916117161;;916118052;http://www.educa.madrid.org/cp.donvictoriano.alcorcon;cp.donvictoriano.alcorcon@educa.madrid.org;40,34447488;-3,81957198
28001231;SAN PABLO-CEU;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO;FUNDACION UNIVERSITARIA SAN PABLO CEU;4;Madrid-Oeste;AVDA;de Montepríncipe;;28668;22;Boadilla del Monte;;;913520523;913726456;913726463;;917154939;www.colegioceumonteprincipe.es;info.csp.monteprincipe@ceu.es;40,39998933;-3,83834502
28001241;NUESTRA SEÑORA DE FATIMA;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;CALLE;Navayuncosa;22;28620;8;Aldea del Fresno;;;918637177;;;;918637603;http://www.educa.madrid.org/cp.fatima.aldeadelfresno;cp.fatima.aldeadelfresno@educa.madrid.org;40,32425442;-4,19982675
28001277;OBISPO MOSCOSO;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;1;Madrid-Norte;CALLE;del Retamar;18;28110;9;Algete;;;916290464;;;;916280730;http://www.educa.madrid.org/cp.obispomoscoso.algete;cp.obispomoscoso.algete@educa.madrid.org;40,59957226;-3,49695887
28001289;SANTA QUITERIA;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;4;Madrid-Oeste;CALLE;de Santa Quiteria;45;28439;10;Alpedrete;;;918572391;918579119;;;918571221;http://www.educa.madrid.org/cp.santaquiteria.alpedrete;cp.santaquiteria.alpedrete@educa.madrid.org;40,65511957;-4,01969433
28001371;SAN JOSE DE CALASANZ;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;AVDA;de la Plaza de Toros;32;28300;13;Aranjuez;;;918910771;;;;918922229;http://www.educa.madrid.org/cp.sanjosedecalasanz.aranjuez;cp.sanjosedecalasanz.aranjuez@educa.madrid.org;40,02757613;-3,59771025
28001435;VIRGEN DEL PUERTO;4;CPR INF;CENTRO PRIVADO DE EDUCACIÓN INFANTIL;PRIVADO;COLEGIO VIRGEN DEL PUERTO, S.L.;2;Madrid-Sur;CALLE;de Carretas;16;28300;13;Aranjuez;;;918910717;;;;;;vdp@colegiovirgendelpuerto.com;40,02591563;-3,60345001
28001514;SAGRADA FAMILIA;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;FUNDACION EDUCATIVA SANTO DOMINGO;2;Madrid-Sur;CALLE;del Príncipe;15;28300;13;Aranjuez;;;918910419;;;;918923648;http://www.aranjuez.fesd.es;cc.sagradafamilia.aranjuez@educa.madrid.org;40,03631505;-3,60301421
28001538;SAN PASCUAL;15;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO CONCERTADO;COLEGIO SAN PASCUAL, SDAD. COOP. MADRILEÑA;2;Madrid-Sur;CALLE;del Rey;77-79;28300;13;Aranjuez;;;918911917;616583604;;;;http://www.colegiosanpascual.es;cc.sanpascual.aranjuez@educa.madrid.org;40,02930098;-3,60042092
28001551;VICENTE ALEIXANDRE;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;CALLE;del Príncipe;38;28300;13;Aranjuez;;;918912625;;;;918920571;http://www.educa.madrid.org/cp.vicentealeixandre.aranjuez;cp.vicentealeixandre.aranjuez@educa.madrid.org;40,03536937;-3,59947784
28001563;APOSTOL SANTIAGO;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;PADRES SOMASCOS;2;Madrid-Sur;CALLE;de las Moreras;217;28300;13;Aranjuez;;;918921200;;;;918921009;http://www.educa.madrid.org/cc.apostolsantiago.aranjuez;cc.apostolsantiago.aranjuez@educa.madrid.org;40,03534728;-3,58973744
28001587;ARCO IRIS ABASTOS;8;EIPR;ESCUELA INFANTIL PRIVADA;PRIVADO;ESCUELA INFANTIL ARCO IRIS ABASTOS, S.L.;2;Madrid-Sur;CALLE;de Abastos;157;28300;13;Aranjuez;;;918911553;;;;;;escuelainfantil.arcoiris.abastos@hotmail.com;40,03126891;-3,59443734
28001605;LOYOLA;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;CONGREGACION SALESIANA;2;Madrid-Sur;CALLE;de Valeras;24;28300;13;Aranjuez;;;918910505;;;;918923768;http://www.salesianosloyola.es;cc.loyola.aranjuez@educa.madrid.org;40,02799252;-3,60944541
28001617;SAN ISIDRO;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;CALLE;de los Cuarteles;51;28300;13;Aranjuez;;;918911299;619785919;;;918090214;http://www.educa.madrid.org/cp.sanisidro.aranjuez;cp.sanisidro.aranjuez@educa.madrid.org;40,03272275;-3,59203552
28001629;DOMENICO SCARLATTI;42;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;CALLE;de Valeras;22;28300;13;Aranjuez;;;918910057;918911298;;;918923723;http://www.educa.madrid.org/ies.domenicoscarlat.aranjuez;ies.domenicoscarlat.aranjuez@educa.madrid.org;40,02960597;-3,60930741
28001642;PRINCIPE DE ASTURIAS;20;CP EE;COLEGIO DE EDUCACIÓN ESPECIAL;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;CALLE;Zorzales;11;28300;13;Aranjuez;;;918915378;;;;918915378;http://www.educa.madrid.org/cpee.principedeasturias.aranjuez;cpee.principedeasturias.aranjuez@educa.madrid.org;40,02966102;-3,61083151
28001678;JORGE MANRIQUE;42;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;1;Madrid-Norte;CALLE;del Mar Adriático;2;28760;903;Tres Cantos;;;918040964;;;;918046515;http://www.educa.madrid.org/ies.jorgemanrique.trescantos;ies.jorgemanrique.trescantos@educa.madrid.org;40,59181827;-3,70434907
28001681;NUESTRA SEÑORA DE LA MILAGROSA;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;Leonor de Cortinas;2;28500;14;Arganda del Rey;;;918710205;;;;918700900;http://www.educa.madrid.org/cp.milagrosa.arganda;cp.milagrosa.arganda@educa.madrid.org;40,3003206;-3,44564485
28001769;EL CARRASCAL;42;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;AVDA;del Instituto;s/n;28500;14;Arganda del Rey;;;918760082;;;;918701851;http://www.educa.madrid.org/ies.elcarrascal.arganda;ies.elcarrascal.arganda@educa.madrid.org;40,29030938;-3,44143779
28001770;SAN JUAN BAUTISTA;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;Isaac Peral;20;28500;14;Arganda del Rey;;;918700113;;;;918702196;http://www.educa.madrid.org/cp.sanjuanbautista.arganda;cp.sanjuanbautista.arganda@educa.madrid.org;40,29672606;-3,43852624
28001794;EL TORREON;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;CALLE;de Serranillos;6;28939;15;Arroyomolinos;;;916095705;676887557;;;916095705;http://www.educa.madrid.org/cp.eltorreon.arroyomolinos;cp.eltorreon.arroyomolinos@educa.madrid.org;40,26759328;-3,91876415
28001812;JUAN RAMON JIMENEZ;70;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;4;Madrid-Oeste;PASEO;de San Sebastián;23;28490;18;Becerril de la Sierra;;;918538064;;;;918555468;http://www.educa.madrid.org/cp.juanramonjimenez.becerril;cp.juanramonjimenez.becerril@educa.madrid.org;40,71359011;-3,99116598
28001824;BELMONTE DE TAJO;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;Tomás Díaz Vázquez;8;28390;19;Belmonte de Tajo;;;918747247;918747351;;;918747386;http://www.educa.madrid.org/cp.belmontedetajo.belmonte;cp.belmontedetajo.belmonte@educa.madrid.org;40,13428703;-3,33587528
28001848;PRINCIPE DON FELIPE;70;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;4;Madrid-Oeste;CALLE;de Juan Carlos I;40;28660;22;Boadilla del Monte;;;916331626;;;;916331954;http://www.educa.madrid.org/cp.principedonfelipe.boadilla;cp.principedonfelipe.boadilla@educa.madrid.org;40,40735603;-3,87874197
