DISTRITO,URI,ID,AdressID,NOMBRE DE VIA,NUMERO DIRECCION,TIPO DE VIA,Adiestramiento,Veterinarios,Peluqueria
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_015,CareCenter_015_address,ESPRONCEDA,14,CL,false,true,false
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_016,CareCenter_016_address,MELENDEZ VALDES,17,CL,false,true,false
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_017,CareCenter_017_address,HILARION ESLAVA,56,CL,false,true,false
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_018,CareCenter_018_address,VIRIATO,50,CL,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_019,CareCenter_019_address,GINZO DE LIMIA,30,CL,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_020,CareCenter_020_address,DOCTOR RAMON CASTROVIEJO,59,CL,false,false,true
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_021,CareCenter_021_address,LA BAÑEZA,18,CL,false,false,true
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_022,CareCenter_022_address,CAMBRILS,14,CL,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_023,CareCenter_023_address,JULIO PALACIOS,37,CL,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_024,CareCenter_024_address,MONASTERIO DE EL ESCORIAL,55,AV,false,true,false
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_025,CareCenter_025_address,BENITO GUTIERREZ,27,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_026,CareCenter_026_address,ANTILLON,34,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_027,CareCenter_027_address,JOSE DE CADALSO,130,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_028,CareCenter_028_address,MAQUEDA,42,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_029,CareCenter_029_address,MAQUEDA,42,CL,false,true,false
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_030,CareCenter_030_address,PARQUE EUGENIA DE MONTIJO,38,CL,false,true,false
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_031,CareCenter_031_address,MARCELINO CAMACHO,13,PO,false,true,false
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_032,CareCenter_032_address,GENERAL RICARDOS,97,CL,false,true,false
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_033,CareCenter_033_address,ABRANTES,80,AV,false,true,false
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_034,CareCenter_034_address,CAMINO VIEJO DE LEGANES,56,CL,false,true,false
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_035,CareCenter_035_address,SALVADOR ALLENDE,24,CL,false,true,false
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_036,CareCenter_036_address,CALDERILLA,1,CL,false,false,true
Usera,https://wikidata.org/entity/Q953368,CareCenter_037,CareCenter_037_address,TARRASA,1,CL,false,true,false
Puente de Vallecas,https://wikidata.org/entity/Q2003054,CareCenter_038,CareCenter_038_address,PUERTO DE LA BONAIGUA,58,CL,false,true,false
Puente de Vallecas,https://wikidata.org/entity/Q2003054,CareCenter_039,CareCenter_039_address,HUMANES,61,CL,false,true,false
Moratalaz,https://wikidata.org/entity/Q2076109,CareCenter_040,CareCenter_040_address,CAMINO DE LOS VINATEROS,63,CL,false,true,false
Moratalaz,https://wikidata.org/entity/Q2076109,CareCenter_041,CareCenter_041_address,CAMINO DE LOS VINATEROS,146,CL,false,false,true
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_042,CareCenter_042_address,MARTINEZ VILLERGAS,22,CL,false,true,false
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_043,CareCenter_043_address,VIRGEN DE LOS REYES,24,CL,false,true,false
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_044,CareCenter_044_address,ALCALA,337,CL,false,true,false
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_045,CareCenter_045_address,ALCALA,330,CL,false,false,true
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_046,CareCenter_046_address,ARTURO SORIA,320,CL,false,true,false
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_047,CareCenter_047_address,SAN GUMERSINDO,12,CL,false,true,false
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_048,CareCenter_048_address,RICARDO ORTIZ,51,CL,false,true,false
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_049,CareCenter_049_address,CALERUEGA,97,CL,false,true,false
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_050,CareCenter_050_address,CALERUEGA,97,CL,false,false,true
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_051,CareCenter_051_address,VIRGEN DE NURIA,17,CL,false,true,false
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_052,CareCenter_052_address,ASCAO,45,CL,false,false,true
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_053,CareCenter_053_address,CANILLAS,45,CR,false,false,true
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_054,CareCenter_054_address,CANILLAS,45,CR,false,false,true
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_055,CareCenter_055_address,CANILLAS,45,CR,false,false,true
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_056,CareCenter_056_address,IMPALA,1,CL,false,true,false
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_057,CareCenter_057_address,VIRGEN DEL CARMEN,64,AV,false,true,false
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_058,CareCenter_058_address,MOTA DEL CUERVO,14,CL,false,true,false
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_059,CareCenter_059_address,PAULA DE LA VEGA,21,CL,false,false,true
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_060,CareCenter_060_address,ARCHIDUQUE ALBERTO,13,CL,false,true,false
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_061,CareCenter_061_address,CANILLAS,45,CR,false,true,false
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_062,CareCenter_062_address,CANILLAS,45,CR,false,true,false
Villaverde,https://wikidata.org/entity/Q919536,CareCenter_063,CareCenter_063_address,ALBINO HERNANDEZ LAZARO,34,CL,false,false,true
Villa de Vallecas,https://wikidata.org/entity/Q1947988,CareCenter_064,CareCenter_064_address,ENSANCHE DE VALLECAS,102,AV,false,true,false
San Blas-Canillejas,https://wikidata.org/entity/Q2001937,CareCenter_065,CareCenter_065_address,MAYOLICA,2,CL,false,true,false
San Blas-Canillejas,https://wikidata.org/entity/Q2001937,CareCenter_066,CareCenter_066_address,MAYOLICA,2,CL,false,false,true
San Blas-Canillejas,https://wikidata.org/entity/Q2001937,CareCenter_067,CareCenter_067_address,JULIAN CAMARILLO,59,CL,false,true,false
Barajas,https://wikidata.org/entity/Q807230,CareCenter_068,CareCenter_068_address,BAHIA DE PALMA,4,CL,false,true,false
Barajas,https://wikidata.org/entity/Q807230,CareCenter_069,CareCenter_069_address,BAHIA DE PALMA,4,CL,false,true,false
Barajas,https://wikidata.org/entity/Q807230,CareCenter_070,CareCenter_070_address,FALUA,5,CL,false,false,true
Barajas,https://wikidata.org/entity/Q807230,CareCenter_071,CareCenter_071_address,JUBILADO,7,PZ,false,false,true
Barajas,https://wikidata.org/entity/Q807230,CareCenter_072,CareCenter_072_address,JUBILADO,7,PZ,true,false,false
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_073,CareCenter_073_address,FLORIDA,49,PO,false,true,false
Moratalaz,https://wikidata.org/entity/Q2076109,CareCenter_074,CareCenter_074_address,FUENTE CARRANTONA,17,CL,false,false,true
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_075,CareCenter_075_address,MEDITERRANEO,14,AV,false,true,false
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_076,CareCenter_076_address,CAMINO VIEJO DE LEGANES,177,CL,false,false,true
Centro,https://wikidata.org/entity/Q1763376,CareCenter_077,CareCenter_077_address,PALMA,15,CL,true,false,false
Centro,https://wikidata.org/entity/Q1763376,CareCenter_078,CareCenter_078_address,PALMA,15,CL,true,false,false
Centro,https://wikidata.org/entity/Q1763376,CareCenter_079,CareCenter_079_address,CONDE DUQUE,46,CL,false,true,false
Arganzuela,https://wikidata.org/entity/Q2000929,CareCenter_080,CareCenter_080_address,ACACIAS,59,PO,false,true,false
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_081,CareCenter_081_address,LA REGALADA,7,CL,false,true,false
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_082,CareCenter_082_address,MENENDEZ PELAYO,23,AV,false,true,false
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_083,CareCenter_083_address,DOCE DE OCTUBRE,24,CL,false,true,false
Salamanca,https://wikidata.org/entity/Q1773521,CareCenter_084,CareCenter_084_address,VELAZQUEZ,109,CL,false,true,false
Salamanca,https://wikidata.org/entity/Q1773521,CareCenter_085,CareCenter_085_address,VELAZQUEZ,109,CL,false,true,false
Chamartín,https://wikidata.org/entity/Q1766348,CareCenter_086,CareCenter_086_address,LOPEZ DE HOYOS,100,CL,false,true,false
Chamartín,https://wikidata.org/entity/Q1766348,CareCenter_087,CareCenter_087_address,FRAY BERNARDINO SAHAGUN,9,CL,false,true,false
Tetuán,https://wikidata.org/entity/Q1773540,CareCenter_088,CareCenter_088_address,CAPITAN BLANCO ARGIBAY,133,CL,false,false,true
Tetuán,https://wikidata.org/entity/Q1773540,CareCenter_089,CareCenter_089_address,VILLAAMIL,74,CL,false,true,false
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_090,CareCenter_090_address,MANUEL CORTINA,7,CL,false,true,false
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_091,CareCenter_091_address,RIOS ROSAS,46,CL,false,false,true
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_092,CareCenter_092_address,SARRIA,52,CL,false,true,false
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_093,CareCenter_093_address,QUINTANA,2,CL,false,false,true
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_094,CareCenter_094_address,QUINTANA,2,CL,false,false,true
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_095,CareCenter_095_address,RIAZA,2,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_096,CareCenter_096_address,QUERO,57,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_097,CareCenter_097_address,RAFAEL FINAT,45,CL,false,true,false
Puente de Vallecas,https://wikidata.org/entity/Q2003054,CareCenter_098,CareCenter_098_address,PABLO NERUDA,34,AV,false,true,false
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_099,CareCenter_099_address,PUERTO DE SANTA MARIA,128,CL,false,true,false
Villa de Vallecas,https://wikidata.org/entity/Q1947988,CareCenter_0100,CareCenter_0100_address,PUENTELARRA,7,CL,false,false,true
Villa de Vallecas,https://wikidata.org/entity/Q1947988,CareCenter_0101,CareCenter_0101_address,PUENTELARRA,5,CL,false,true,false
Villaverde,https://wikidata.org/entity/Q919536,CareCenter_0102,CareCenter_0102_address,CLARA SCHUMANN,22,CL,false,false,true
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_0103,CareCenter_0103_address,ALONSO CANO,27,CL,false,true,false
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_0104,CareCenter_0104_address,IGLESIA,5,CL,false,true,false
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_0105,CareCenter_0105_address,TORRELAGUNA,61,CL,false,true,false
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_0106,CareCenter_0106_address,TORRELAGUNA,61,CL,false,true,false
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_0107,CareCenter_0107_address,FERRAZ,13,CL,false,true,false
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_0108,CareCenter_0108_address,FERRAZ,13,CL,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0109,CareCenter_0109_address,ANGEL MUGICA,1,CL,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0110,CareCenter_0110_address,ISLAS MARSHALL,3,CL,false,true,false
Puente de Vallecas,https://wikidata.org/entity/Q2003054,CareCenter_0111,CareCenter_0111_address,PABLO NERUDA,69,AV,false,true,false
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_0112,CareCenter_0112_address,DONOSO CORTES,37,CL,false,false,true
Latina,https://wikidata.org/entity/Q794954,CareCenter_0113,CareCenter_0113_address,ILLESCAS,42,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_0114,CareCenter_0114_address,ILLESCAS,72,CL,false,true,false
Barajas,https://wikidata.org/entity/Q807230,CareCenter_0115,CareCenter_0115_address,BALANDRO,36,CL,false,false,true
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_0116,CareCenter_0116_address,ARGÜESO,30,CL,false,true,false
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_0117,CareCenter_0117_address,CRUZ DEL SUR,7,CL,false,true,false
Tetuán,https://wikidata.org/entity/Q1773540,CareCenter_0118,CareCenter_0118_address,ALEJANDRO RODRIGUEZ,10,CL,false,true,false
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_0119,CareCenter_0119_address,DOCTOR CASTELO,16,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_0120,CareCenter_0120_address,BOADILLA DEL MONTE,34,CR,false,true,false
Puente de Vallecas,https://wikidata.org/entity/Q2003054,CareCenter_0121,CareCenter_0121_address,SIERRA TOLEDANA,5,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_0122,CareCenter_0122_address,CAMARENA,251,CL,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0123,CareCenter_0123_address,PUERTO DE MASPALOMAS,12,CL,true,false,false
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_0124,CareCenter_0124_address,JOAQUIN MARTINEZ BORREGUERO,16,CL,false,true,false
Barajas,https://wikidata.org/entity/Q807230,CareCenter_0125,CareCenter_0125_address,ARIES,4,CL,false,true,false
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_0126,CareCenter_0126_address,MALAGON,2,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_0127,CareCenter_0127_address,OCAÑA,201,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_0128,CareCenter_0128_address,SAN MANUEL,3,CL,false,true,false
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_0129,CareCenter_0129_address,MENENDEZ PELAYO,19,AV,false,false,true
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_0130,CareCenter_0130_address,MARQUES DE CORBERA,54,AV,false,true,false
Villa de Vallecas,https://wikidata.org/entity/Q1947988,CareCenter_0131,CareCenter_0131_address,LA REVOLTOSA,8,CL,false,false,true
Villa de Vallecas,https://wikidata.org/entity/Q1947988,CareCenter_0132,CareCenter_0132_address,LA REVOLTOSA,8,CL,false,false,true
Usera,https://wikidata.org/entity/Q953368,CareCenter_0133,CareCenter_0133_address,GRAN AVENIDA,27,CL,false,false,true
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_0134,CareCenter_0134_address,GENERAL ALVAREZ DE CASTRO,23,CL,false,false,true
Centro,https://wikidata.org/entity/Q1763376,CareCenter_0135,CareCenter_0135_address,MANUELA MALASAÑA,4,CL,false,true,false
Arganzuela,https://wikidata.org/entity/Q2000929,CareCenter_0136,CareCenter_0136_address,BEATA MARIA ANA DE JESUS,12,PZ,false,false,true
Moratalaz,https://wikidata.org/entity/Q2076109,CareCenter_0137,CareCenter_0137_address,CAÑADA,23,CL,false,true,false
Moratalaz,https://wikidata.org/entity/Q2076109,CareCenter_0138,CareCenter_0138_address,CAÑADA,23,CL,false,true,false
Puente de Vallecas,https://wikidata.org/entity/Q2003054,CareCenter_0139,CareCenter_0139_address,PEAL,20,CL,false,true,false
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_0140,CareCenter_0140_address,DOCTOR FEDERICO RUBIO Y GALI,108,AV,false,true,false
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_0141,CareCenter_0141_address,VALLADOLID,43,AV,false,true,false
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_0142,CareCenter_0142_address,VALLADOLID,43,AV,false,true,false
Chamartín,https://wikidata.org/entity/Q1766348,CareCenter_0143,CareCenter_0143_address,PRINCIPE DE VERGARA,208,CL,true,false,false
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_0144,CareCenter_0144_address,GARCIA DE PAREDES,86,CL,false,true,false
San Blas-Canillejas,https://wikidata.org/entity/Q2001937,CareCenter_0145,CareCenter_0145_address,SUECIA,11,CL,false,true,false
Salamanca,https://wikidata.org/entity/Q1773521,CareCenter_0146,CareCenter_0146_address,VELAZQUEZ,105,CL,false,true,false
Salamanca,https://wikidata.org/entity/Q1773521,CareCenter_0147,CareCenter_0147_address,VELAZQUEZ,105,CL,false,true,false
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_0148,CareCenter_0148_address,FERRAZ,28,CL,false,true,false
Chamartín,https://wikidata.org/entity/Q1766348,CareCenter_0149,CareCenter_0149_address,VELAZQUEZ,136,CL,false,false,true
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_0150,CareCenter_0150_address,OLIVO,39,CL,false,true,false
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_0151,CareCenter_0151_address,OLIVO,39,CL,false,true,false
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_0152,CareCenter_0152_address,OLIVO,39,CL,false,true,false
Usera,https://wikidata.org/entity/Q953368,CareCenter_0153,CareCenter_0153_address,OLVIDO,123,CL,false,true,false
Villa de Vallecas,https://wikidata.org/entity/Q1947988,CareCenter_0154,CareCenter_0154_address,PUENTELARRA,18,CL,false,true,false
Arganzuela,https://wikidata.org/entity/Q2000929,CareCenter_0155,CareCenter_0155_address,NAVES,9,CL,false,true,false
Arganzuela,https://wikidata.org/entity/Q2000929,CareCenter_0156,CareCenter_0156_address,NAVES,9,CL,false,true,false
Chamartín,https://wikidata.org/entity/Q1766348,CareCenter_0157,CareCenter_0157_address,RAMON Y CAJAL,7,AV,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_0158,CareCenter_0158_address,VALMOJADO,117,CL,false,false,true
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0159,CareCenter_0159_address,ANGEL MUGICA,9,CL,false,true,false
Villa de Vallecas,https://wikidata.org/entity/Q1947988,CareCenter_0160,CareCenter_0160_address,REAL DE ARGANDA,34,CL,false,true,false
Puente de Vallecas,https://wikidata.org/entity/Q2003054,CareCenter_0161,CareCenter_0161_address,CANDILEJAS,58,CL,false,true,false
San Blas-Canillejas,https://wikidata.org/entity/Q2001937,CareCenter_0162,CareCenter_0162_address,SUECIA,65,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_0163,CareCenter_0163_address,AZOR,13,CL,false,false,true
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_0164,CareCenter_0164_address,NUESTRA SEÑORA DE FATIMA,75,AV,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0165,CareCenter_0165_address,GINZO DE LIMIA,33,CL,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0166,CareCenter_0166_address,MONFORTE DE LEMOS,169,AV,false,false,true
Latina,https://wikidata.org/entity/Q794954,CareCenter_0167,CareCenter_0167_address,CEBREROS,101,CL,false,true,false
Villa de Vallecas,https://wikidata.org/entity/Q1947988,CareCenter_0168,CareCenter_0168_address,CONGOSTO,37,CL,false,false,true
San Blas-Canillejas,https://wikidata.org/entity/Q2001937,CareCenter_0169,CareCenter_0169_address,BOLTAÑA,82,CL,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0170,CareCenter_0170_address,ISLA DE TAVIRA,26,CL,false,false,true
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_0171,CareCenter_0171_address,FERNANDO EL CATOLICO,78,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_0172,CareCenter_0172_address,VIÑEGRA,6,CL,false,true,false
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_0173,CareCenter_0173_address,TRIBALDOS,16,CL,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0174,CareCenter_0174_address,CAMPO DE CALATRAVA,9,AV,false,true,false
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_0175,CareCenter_0175_address,VALLEHERMOSO,98,CL,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0176,CareCenter_0176_address,MIRADOR DE LA REINA,99,CL,false,true,false
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_0177,CareCenter_0177_address,BRAVO MURILLO,84,CL,false,true,false
Arganzuela,https://wikidata.org/entity/Q2000929,CareCenter_0178,CareCenter_0178_address,VIRGEN DEL PUERTO,9,PO,false,true,false
Arganzuela,https://wikidata.org/entity/Q2000929,CareCenter_0179,CareCenter_0179_address,VIRGEN DEL PUERTO,9,PO,false,true,false
Tetuán,https://wikidata.org/entity/Q1773540,CareCenter_0180,CareCenter_0180_address,GENERAL MARGALLO,22,CL,false,true,false
Puente de Vallecas,https://wikidata.org/entity/Q2003054,CareCenter_0181,CareCenter_0181_address,MARTINEZ DE LA RIVA,38,CL,false,true,false
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_0182,CareCenter_0182_address,TORRELAGUNA,106,CL,false,true,false
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0183,CareCenter_0183_address,GINZO DE LIMIA,46,CL,false,false,true
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0184,CareCenter_0184_address,GINZO DE LIMIA,46,CL,false,false,true
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0185,CareCenter_0185_address,GINZO DE LIMIA,46,CL,false,false,true
Salamanca,https://wikidata.org/entity/Q1773521,CareCenter_0186,CareCenter_0186_address,MARQUES DE ZAFRA,34,PO,false,true,false
Ciudad Lineal,https://wikidata.org/entity/Q1763694,CareCenter_0187,CareCenter_0187_address,JOSE DEL HIERRO,41,CL,false,true,false
Latina,https://wikidata.org/entity/Q794954,CareCenter_0188,CareCenter_0188_address,EXTREMADURA,55,PO,false,true,false
Centro,https://wikidata.org/entity/Q1763376,CareCenter_0189,CareCenter_0189_address,AMANIEL,18,CL,false,true,false
Centro,https://wikidata.org/entity/Q1763376,CareCenter_0190,CareCenter_0190_address,APODACA,11,CL,true,false,false
Centro,https://wikidata.org/entity/Q1763376,CareCenter_0191,CareCenter_0191_address,APODACA,11,CL,true,false,false
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_0192,CareCenter_0192_address,ANGEL GANIVET,28,CL,false,true,false
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_0193,CareCenter_0193_address,GALILEO,51,CL,false,false,true
Salamanca,https://wikidata.org/entity/Q1773521,CareCenter_0194,CareCenter_0194_address,NUÑEZ DE BALBOA,10,CL,false,false,true
Salamanca,https://wikidata.org/entity/Q1773521,CareCenter_0195,CareCenter_0195_address,NUÑEZ DE BALBOA,10,CL,false,false,true
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CareCenter_0196,CareCenter_0196_address,ISLA DE OZA,59,CL,true,false,false
Chamberí,https://wikidata.org/entity/Q1763370,CareCenter_0197,CareCenter_0197_address,DONOSO CORTES,58,CL,true,false,false
Hortaleza,https://wikidata.org/entity/Q1928529,CareCenter_0198,CareCenter_0198_address,FRANCISCO MOSQUEDA,7,CL,false,false,true
Vicálvaro,https://wikidata.org/entity/Q589403,CareCenter_0199,CareCenter_0199_address,COMUNIDADES,28,AV,true,false,false
Centro,https://wikidata.org/entity/Q1763376,CareCenter_0200,CareCenter_0200_address,TOLEDO,65,CL,false,false,true
Centro,https://wikidata.org/entity/Q1763376,CareCenter_0201,CareCenter_0201_address,TOLEDO,65,CL,false,false,true
Tetuán,https://wikidata.org/entity/Q1773540,CareCenter_0202,CareCenter_0202_address,OÑATE,7,CL,false,true,false
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_0203,CareCenter_0203_address,SAN DELFIN,4,CL,false,false,true
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CareCenter_0204,CareCenter_0204_address,CAMPO DE LA ESTRELLA,7,CL,false,true,false
Puente de Vallecas,https://wikidata.org/entity/Q2003054,CareCenter_0205,CareCenter_0205_address,PEÑA RUBIA,5,CL,false,false,true
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_0206,CareCenter_0206_address,PEDRO DIEZ,20,AV,false,true,false
Puente de Vallecas,https://wikidata.org/entity/Q2003054,CareCenter_0207,CareCenter_0207_address,PALOMERAS,145,AV,false,false,true
Carabanchel,https://wikidata.org/entity/Q1001991,CareCenter_0208,CareCenter_0208_address,MERCEDES ARTEAGA,49,CL,false,true,false
